dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
eurusd,0.333,8,omega_2,ZV-Lasso-5,0.0888158562095557,0.0001188718709362,29,712025.1398146959
eurusd,0.333,8,omega_3,MC,0.559909864424086,0.0373689229571369,0,
eurusd,0.333,8,omega_3,ZV-OLS-1,0.546607000267761,0.0330466218799177,3,9.060716495917749
eurusd,0.333,8,omega_3,ZV-OLS-2,0.5234808610047366,0.0159948038843174,9,140.72390191538923
eurusd,0.333,8,omega_3,ZV-OLS-5,0.5468298557303295,0.0005285190075439,55,25588461.56537862
eurusd,0.333,8,omega_3,ZV-Lasso-5,0.5579293796009372,0.0006974177640163,35,219179.478529392
eurusd,0.3285,9,omega_1,MC,0.0722235139339794,0.0058577584712789,0,
eurusd,0.3285,9,omega_1,ZV-OLS-1,0.0718103810718399,0.0049112898433157,3,9.50611199315463
eurusd,0.3285,9,omega_1,ZV-OLS-2,0.0715939828460261,0.0020213565684771,9,130.0437149831624
eurusd,0.3285,9,omega_1,ZV-OLS-5,0.0748430700532306,5.739469442486248e-05,55,62711078.35348145
eurusd,0.3285,9,omega_1,ZV-Lasso-5,0.0706892547582079,6.813756611286458e-05,37,114203.21643859324
eurusd,0.3285,9,omega_2,MC,0.0960801602609537,0.0058755865423705,0,
eurusd,0.3285,9,omega_2,ZV-OLS-1,0.092023099463653,0.0036218273364817,3,9.50611199315463
eurusd,0.3285,9,omega_2,ZV-OLS-2,0.0909465743085676,0.0003196052698386,9,130.0437149831624
eurusd,0.3285,9,omega_2,ZV-OLS-5,0.0879125821117563,4.157757836038287e-05,55,62711078.35348145
eurusd,0.3285,9,omega_2,ZV-Lasso-5,0.0888535005310229,0.0001092115075795,29,32579.91227471796
eurusd,0.3285,9,omega_3,MC,0.5277087314839689,0.0325215845561975,0,
eurusd,0.3285,9,omega_3,ZV-OLS-1,0.5329055895747993,0.0289574175266195,3,9.50611199315463
eurusd,0.3285,9,omega_3,ZV-OLS-2,0.5353302492779303,0.0105348143048916,9,130.0437149831624
eurusd,0.3285,9,omega_3,ZV-OLS-5,0.5213534394740938,0.000263125147479,55,62711078.35348145
eurusd,0.3285,9,omega_3,ZV-Lasso-5,0.5368748931561556,0.0003375475897551,35,113993.16414945704
eurusd,0.31575,10,omega_1,MC,0.0864995161078508,0.0088486272229555,0,
eurusd,0.31575,10,omega_1,ZV-OLS-1,0.0876633389491527,0.0082613913122234,3,8.786744683141372
eurusd,0.31575,10,omega_1,ZV-OLS-2,0.0816143224722343,0.0037614146207665,9,140.9547289182152
eurusd,0.31575,10,omega_1,ZV-OLS-5,0.0703677602705123,0.0001722705461674,55,22346332.70115881
eurusd,0.31575,10,omega_1,ZV-Lasso-5,0.0712269042010675,0.0001875884345779,38,288027.4296981948
eurusd,0.31575,10,omega_2,MC,0.0884851712100749,0.0061724463419517,0,
eurusd,0.31575,10,omega_2,ZV-OLS-1,0.0923155654088798,0.002670739270111,3,8.786744683141372
eurusd,0.31575,10,omega_2,ZV-OLS-2,0.0885529373133964,0.0009414560460467,9,140.9547289182152
eurusd,0.31575,10,omega_2,ZV-OLS-5,0.0913724338132537,6.586035652867371e-05,55,22346332.70115881
eurusd,0.31575,10,omega_2,ZV-Lasso-5,0.0894844374172258,0.000121946422607,28,37169.96105299375
eurusd,0.31575,10,omega_3,MC,0.4595146489943571,0.048603960860144,0,
eurusd,0.31575,10,omega_3,ZV-OLS-1,0.45117402397482,0.0445001670867859,3,8.786744683141372
eurusd,0.31575,10,omega_3,ZV-OLS-2,0.4857461099490709,0.0187703379167604,9,140.9547289182152
eurusd,0.31575,10,omega_3,ZV-OLS-5,0.5411878098998686,0.0008524651779281,55,22346332.70115881
eurusd,0.31575,10,omega_3,ZV-Lasso-5,0.5403935256400813,0.000926620200361,36,65093.31901316752
