dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
eurusd,0.3155,3,omega_1,ZV-OLS-1,0.0854129336576684,0.0099346260687435,3,8.088571287942756
eurusd,0.3155,3,omega_1,ZV-OLS-2,0.082652217867911,0.0040707496536409,9,149.98827648712265
eurusd,0.3155,3,omega_1,ZV-OLS-5,0.0677493384101881,0.0002058269469431,55,18965623.147307053
eurusd,0.3155,3,omega_1,ZV-Lasso-5,0.0735306903553938,0.0003940997202292,32,57550.7715210142
eurusd,0.3155,3,omega_2,MC,0.0916531848476721,0.0065674106122825,0,
eurusd,0.3155,3,omega_2,ZV-OLS-1,0.0899617298390063,0.0029976465435186,3,8.088571287942756
eurusd,0.3155,3,omega_2,ZV-OLS-2,0.0883389874833726,0.0011210690060516,9,149.98827648712265
eurusd,0.3155,3,omega_2,ZV-OLS-5,0.0919486933456787,8.586303844949944e-05,55,18965623.147307053
eurusd,0.3155,3,omega_2,ZV-Lasso-5,0.0889852076363816,0.0002149870109357,29,55793.18825483897
eurusd,0.3155,3,omega_3,MC,0.4651356220464223,0.0567617782943425,0,
eurusd,0.3155,3,omega_3,ZV-OLS-1,0.4652063738248574,0.0537079676455821,3,8.088571287942756
eurusd,0.3155,3,omega_3,ZV-OLS-2,0.4805519766534449,0.0204060247130055,9,149.98827648712265
eurusd,0.3155,3,omega_3,ZV-OLS-5,0.5542541670788188,0.0010195448533479,55,18965623.147307053
eurusd,0.3155,3,omega_3,ZV-Lasso-5,0.5407504685274188,0.0019976580011562,32,10190.299528956984
eurusd,0.326,4,omega_1,MC,0.1254832717195187,0.0068720133955184,0,
eurusd,0.326,4,omega_1,ZV-OLS-1,0.1239560054376087,0.0065063899265584,3,10.407655471987924
eurusd,0.326,4,omega_1,ZV-OLS-2,0.0836509162772357,0.0033333904971844,9,240.0301058938225
eurusd,0.326,4,omega_1,ZV-OLS-5,0.1369611844260254,7.861218584888763e-05,55,26768669.21201898
eurusd,0.326,4,omega_1,ZV-Lasso-5,0.1209602638542554,0.0001536557516151,33,44036.76712724386
eurusd,0.326,4,omega_2,MC,0.0835486191462314,0.0081404051107107,0,
eurusd,0.326,4,omega_2,ZV-OLS-1,0.0953573455378948,0.0015265519835075,3,10.407655471987924
eurusd,0.326,4,omega_2,ZV-OLS-2,0.0982054796663052,0.0011001904230639,9,240.0301058938225
eurusd,0.326,4,omega_2,ZV-OLS-5,0.0762947475267063,2.0610106158168208e-05,55,26768669.21201898
eurusd,0.326,4,omega_2,ZV-Lasso-5,0.1034285081344343,0.0002215762562603,23,6781.016207598376
eurusd,0.326,4,omega_3,MC,0.2633054229816012,0.0360587842722019,0,
eurusd,0.326,4,omega_3,ZV-OLS-1,0.2577877908499885,0.0334216272545662,3,10.407655471987924
eurusd,0.326,4,omega_3,ZV-OLS-2,0.4685906272608582,0.0163917018943007,9,240.0301058938225
eurusd,0.326,4,omega_3,ZV-OLS-5,0.2094399702656054,0.000387090644917,55,26768669.21201898
eurusd,0.326,4,omega_3,ZV-Lasso-5,0.2351409367133318,0.0004143702152224,41,179373.78368523452
eurusd,0.31875,5,omega_1,MC,0.0618511711454511,0.0036910405508275,0,
eurusd,0.31875,5,omega_1,ZV-OLS-1,0.0626976550768928,0.0026070976107148,3,12.216425059842807
eurusd,0.31875,5,omega_1,ZV-OLS-2,0.0658821167307899,0.0010382693625871,9,182.2498529998878
eurusd,0.31875,5,omega_1,ZV-OLS-5,0.0851588060325802,2.655879362043125e-05,55,74698156.40879081
eurusd,0.31875,5,omega_1,ZV-Lasso-5,0.082153993960714,2.6610570004051332e-05,41,606848.359385594
eurusd,0.31875,5,omega_2,MC,0.0885642296754458,0.0045736467999313,0,
eurusd,0.31875,5,omega_2,ZV-OLS-1,0.0884685919955728,0.001991628872511,3,12.216425059842807
eurusd,0.31875,5,omega_2,ZV-OLS-2,0.0894650076908135,0.0004082699097619,9,182.2498529998878
eurusd,0.31875,5,omega_2,ZV-OLS-5,0.0827410539288534,1.2701838034303631e-05,55,74698156.40879081
eurusd,0.31875,5,omega_2,ZV-Lasso-5,0.0888101591171639,8.207416676719908e-05,25,32657.609226451063
eurusd,0.31875,5,omega_3,MC,0.5881967995633588,0.0197538387035141,0,
eurusd,0.31875,5,omega_3,ZV-OLS-1,0.5834313789738526,0.0151527096701355,3,12.216425059842807
eurusd,0.31875,5,omega_3,ZV-OLS-2,0.5662289265449526,0.0053345231512584,9,182.2498529998878
eurusd,0.31875,5,omega_3,ZV-OLS-5,0.4727016293555887,0.0001280540110392,55,74698156.40879081
eurusd,0.31875,5,omega_3,ZV-Lasso-5,0.473251853004015,0.0001528952279037,41,421227.2479516288
eurusd,0.31125,6,omega_1,MC,0.0994577439414698,0.0124920283923776,0,
eurusd,0.31125,6,omega_1,ZV-OLS-1,0.0899893340949551,0.0110457529146347,3,11.48233812880992
eurusd,0.31125,6,omega_1,ZV-OLS-2,0.0839746768644898,0.0035968441864827,9,181.1381609971949
eurusd,0.31125,6,omega_1,ZV-OLS-5,0.0740295253612748,0.0004554236325774,55,8983027.729793686
eurusd,0.31125,6,omega_1,ZV-Lasso-5,0.0800136017658805,0.0007781754724296,35,302624.0050548573
eurusd,0.31125,6,omega_2,MC,0.0573931167952049,0.0057397954115147,0,
eurusd,0.31125,6,omega_2,ZV-OLS-1,0.077810011342177,0.0037311591649174,3,11.48233812880992
eurusd,0.31125,6,omega_2,ZV-OLS-2,0.0796099556254802,0.0016375090512777,9,181.1381609971949
eurusd,0.31125,6,omega_2,ZV-OLS-5,0.0909060067254511,0.000131139024649,55,8983027.729793686
eurusd,0.31125,6,omega_2,ZV-Lasso-5,0.0871311645163478,0.0002764258835399,24,19336.80384725213
eurusd,0.31125,6,omega_3,MC,0.4134768823407965,0.0633730033906706,0,
eurusd,0.31125,6,omega_3,ZV-OLS-1,0.4497104735891014,0.0575989915992325,3,11.48233812880992
eurusd,0.31125,6,omega_3,ZV-OLS-2,0.480313842866942,0.0188737026718267,9,181.1381609971949
eurusd,0.31125,6,omega_3,ZV-OLS-5,0.5227065314744971,0.0022696208407025,55,8983027.729793686
eurusd,0.31125,6,omega_3,ZV-Lasso-5,0.4971875117973809,0.0035804905599943,36,1883666.741715127
eurusd,0.3135,7,omega_1,MC,0.1008737756352848,0.0074630487610865,0,
eurusd,0.3135,7,omega_1,ZV-OLS-1,0.0990081921768371,0.0072561447858059,3,10.63327515095134
eurusd,0.3135,7,omega_1,ZV-OLS-2,0.0781409149761332,0.0029901337550357,9,160.02499835130354
eurusd,0.3135,7,omega_1,ZV-OLS-5,0.0700382130119921,0.0001357106849856,55,16107432.404221646
eurusd,0.3135,7,omega_1,ZV-Lasso-5,0.0799002628088115,0.0002008513071473,34,115124.70803282576
eurusd,0.3135,7,omega_2,MC,0.0879540323225888,0.0057655001033803,0,
eurusd,0.3135,7,omega_2,ZV-OLS-1,0.0959803606713584,0.0021997568858216,3,10.63327515095134
eurusd,0.3135,7,omega_2,ZV-OLS-2,0.0910872005994084,0.0011858934887637,9,160.02499835130354
eurusd,0.3135,7,omega_2,ZV-OLS-5,0.0922076358698838,3.6111276993453226e-05,55,16107432.404221646
eurusd,0.3135,7,omega_2,ZV-Lasso-5,0.093110692414598,0.0001010322621669,28,54123.03468155426
eurusd,0.3135,7,omega_3,MC,0.3825472991301042,0.0377641503357419,0,
eurusd,0.3135,7,omega_3,ZV-OLS-1,0.385375120415944,0.0372449057845645,3,10.63327515095134
