chain,parameter,method,estimate,batch_means_se,n_regression_rows
4,omega_1,ZV split chain,0.13783983652680132,0.0012213431859080788,1750
4,omega_1,ZV thinned OLS,0.13852103485503553,0.0007019953644165718,438
4,omega_1,ZV block OLS,0.13873872761642964,0.0005465133711220899,43
4,omega_2,MC,0.24871441102611155,0.003848250692904001,3500
4,omega_2,ZV naive OLS,0.25162756591850716,0.0014100140351392422,3500
4,omega_2,ZV split chain,0.2520604751266582,0.002469941894850573,1750
4,omega_2,ZV thinned OLS,0.25180748262693753,0.0013138194546844168,438
4,omega_2,ZV block OLS,0.2517101817699577,0.0005103095886616493,43
4,omega_3,MC,0.5602566522748773,0.0044357950214162015,3500
4,omega_3,ZV naive OLS,0.5555908142519812,0.0012203153854956888,3500
4,omega_3,ZV split chain,0.5568723197930122,0.0013040484911589546,1750
4,omega_3,ZV thinned OLS,0.5554470601950496,0.0011656460474647665,438
4,omega_3,ZV block OLS,0.5550880593523017,0.0007609770775769409,43
5,omega_1,MC,0.1406505547579046,0.0023346172012092097,3500
5,omega_1,ZV naive OLS,0.13996253974222161,0.0007639003162334085,3500
5,omega_1,ZV split chain,0.14046925808810254,0.0012831436646786897,1750
5,omega_1,ZV thinned OLS,0.13971210591798627,0.0007344439223061161,438
5,omega_1,ZV block OLS,0.13964358529460327,0.0004562154997224834,43
5,omega_2,MC,0.2537503512774311,0.002767465151456265,3500
5,omega_2,ZV naive OLS,0.25015410550794903,0.001131796386813144,3500
5,omega_2,ZV split chain,0.25092619060607974,0.0016167115408485043,1750
5,omega_2,ZV thinned OLS,0.2491173589720456,0.0010711426859021157,438
5,omega_2,ZV block OLS,0.24967222388399377,0.0006017075006868099,43
5,omega_3,MC,0.5510876436582411,0.0043282731381680175,3500
5,omega_3,ZV naive OLS,0.5538024128875992,0.001388808556494106,3500
5,omega_3,ZV split chain,0.5522399254735161,0.002330259091883432,1750
5,omega_3,ZV thinned OLS,0.5548690963940721,0.0011817777510955134,438
5,omega_3,ZV block OLS,0.5544794784952628,0.0010277909488428238,43
6,omega_1,MC,0.13750776835584075,0.002417066692309148,3500
6,omega_1,ZV naive OLS,0.14031433873023394,0.0008613509023144742,3500
6,omega_1,ZV split chain,0.1407858279614989,0.0018523318276043796,1750
6,omega_1,ZV thinned OLS,0.14063165310123907,0.000476132304077095,438
6,omega_1,ZV block OLS,0.1407501193561312,0.0006972812099766928,43
6,omega_2,MC,0.2563464262821627,0.0033016026169282345,3500
6,omega_2,ZV naive OLS,0.2509298244415942,0.0009349616126002046,3500
6,omega_2,ZV split chain,0.252024714918824,0.0019038759568874256,1750
6,omega_2,ZV thinned OLS,0.2509055323463995,0.0012504048007074395,438
6,omega_2,ZV block OLS,0.25003628483668705,0.001612414848241614,43
6,omega_3,MC,0.5538151487971306,0.00510474520594666,3500
6,omega_3,ZV naive OLS,0.5528448619052282,0.0014515155322637576,3500
6,omega_3,ZV split chain,0.5518946023307535,0.0030122715187176283,1750
6,omega_3,ZV thinned OLS,0.5519889349670611,0.0009824540352161653,438
6,omega_3,ZV block OLS,0.5524409559128208,0.0009255634362569231,43
7,omega_1,MC,0.14380791547497868,0.0034225748111422886,3500
