dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
eurusd,0.367625,3,omega_3,ZV-OLS-2,0.472128962299068,0.0216624626672108,9,118.48430835100392
eurusd,0.367625,3,omega_3,ZV-OLS-5,0.5112042983839998,0.0021044765733916,55,4835963.324164903
eurusd,0.367625,3,omega_3,ZV-Lasso-5,0.506163111840285,0.0037652237788175,27,6605.90092071865
eurusd,0.339,4,omega_1,MC,0.0855791854920676,0.0052618974220035,0,
eurusd,0.339,4,omega_1,ZV-OLS-1,0.084881338987412,0.004785479714254,3,9.013480512180848
eurusd,0.339,4,omega_1,ZV-OLS-2,0.0808793752249755,0.0026240757166406,9,130.45382799622084
eurusd,0.339,4,omega_1,ZV-OLS-5,0.0718676435808509,0.0001102485603619,55,19857313.69939661
eurusd,0.339,4,omega_1,ZV-Lasso-5,0.073188557043707,0.0001266132063535,40,186874.475496526
eurusd,0.339,4,omega_2,MC,0.0885884089513168,0.0036350753795518,0,
eurusd,0.339,4,omega_2,ZV-OLS-1,0.0888160727713859,0.0015887103409862,3,9.013480512180848
eurusd,0.339,4,omega_2,ZV-OLS-2,0.087598700821456,0.000823717750385,9,130.45382799622084
eurusd,0.339,4,omega_2,ZV-OLS-5,0.0922906051177264,6.526878165761328e-05,55,19857313.69939661
eurusd,0.339,4,omega_2,ZV-Lasso-5,0.0882746635499189,0.0001613406244672,26,23041.35479433215
eurusd,0.339,4,omega_3,MC,0.4645574193234622,0.0278678311823702,0,
eurusd,0.339,4,omega_3,ZV-OLS-1,0.4678840541199814,0.025378092537123,3,9.013480512180848
eurusd,0.339,4,omega_3,ZV-OLS-2,0.4899173919114732,0.0131634579348815,9,130.45382799622084
eurusd,0.339,4,omega_3,ZV-OLS-5,0.5330647196222922,0.000534717931155,55,19857313.69939661
eurusd,0.339,4,omega_3,ZV-Lasso-5,0.5284821883113328,0.00064013227531,44,340207.264589768
eurusd,0.3815,5,omega_1,MC,0.0758784867408168,0.0036560385197077,0,
eurusd,0.3815,5,omega_1,ZV-OLS-1,0.0755436738371826,0.0031253778723715,3,8.811593126626903
eurusd,0.3815,5,omega_1,ZV-OLS-2,0.0755421628199656,0.0017133740049292,9,141.39512402204323
eurusd,0.3815,5,omega_1,ZV-OLS-5,0.0740936150559543,0.0001321102890336,55,38856860.60662759
eurusd,0.3815,5,omega_1,ZV-Lasso-5,0.0740151297617282,0.0001393484667082,42,445289.262772656
eurusd,0.3815,5,omega_2,MC,0.0829804763720147,0.0040795419355786,0,
eurusd,0.3815,5,omega_2,ZV-OLS-1,0.085482197927078,0.0024790613384454,3,8.811593126626903
eurusd,0.3815,5,omega_2,ZV-OLS-2,0.0879340616090021,0.0009170184287262,9,141.39512402204323
eurusd,0.3815,5,omega_2,ZV-OLS-5,0.091734068448805,5.2311516203520055e-05,55,38856860.60662759
eurusd,0.3815,5,omega_2,ZV-Lasso-5,0.0890440322026006,0.000166068814042,28,106338.58229058984
eurusd,0.3815,5,omega_3,MC,0.520981882992962,0.0180350604860211,0,
eurusd,0.3815,5,omega_3,ZV-OLS-1,0.5195525978539715,0.0156796272825587,3,8.811593126626903
eurusd,0.3815,5,omega_3,ZV-OLS-2,0.5176001932465879,0.0085049578810379,9,141.39512402204323
eurusd,0.3815,5,omega_3,ZV-OLS-5,0.521826616198984,0.000644028418887,55,38856860.60662759
eurusd,0.3815,5,omega_3,ZV-Lasso-5,0.5183589436250626,0.0007222880837728,43,310642.3655175454
eurusd,0.35475,6,omega_1,MC,0.0850594374735066,0.0065280702170243,0,
eurusd,0.35475,6,omega_1,ZV-OLS-1,0.0850872158841225,0.0063088185120486,3,8.439282726225914
eurusd,0.35475,6,omega_1,ZV-OLS-2,0.0820830479719906,0.0028752519932826,9,130.54279895926325
eurusd,0.35475,6,omega_1,ZV-OLS-5,0.0741783117681741,0.0001477518533171,55,8581518.246676685
eurusd,0.35475,6,omega_1,ZV-Lasso-5,0.0750285872692087,0.0002285683784188,41,214703.02751655784
eurusd,0.35475,6,omega_2,MC,0.0886473062295489,0.002212675595028,0,
eurusd,0.35475,6,omega_2,ZV-OLS-1,0.089300980437242,0.0011240397886613,3,8.439282726225914
eurusd,0.35475,6,omega_2,ZV-OLS-2,0.0876602242451514,0.0006528550835753,9,130.54279895926325
eurusd,0.35475,6,omega_2,ZV-OLS-5,0.0893268974879968,4.801614537492593e-05,55,8581518.246676685
eurusd,0.35475,6,omega_2,ZV-Lasso-5,0.0882003574123296,0.0001245763323495,29,21866.4386589983
eurusd,0.35475,6,omega_3,MC,0.466034110383826,0.0347996087924036,0,
eurusd,0.35475,6,omega_3,ZV-OLS-1,0.4664457256699038,0.0335926771182801,3,8.439282726225914
eurusd,0.35475,6,omega_3,ZV-OLS-2,0.4839622244920048,0.0145498111813986,9,130.54279895926325
eurusd,0.35475,6,omega_3,ZV-OLS-5,0.5231689208171633,0.0007370285377923,55,8581518.246676685
eurusd,0.35475,6,omega_3,ZV-Lasso-5,0.5165039761831285,0.0011649446010168,33,74155.8322558552
eurusd,0.34025,7,omega_1,MC,0.0886269095261086,0.0069317215395802,0,
eurusd,0.34025,7,omega_1,ZV-OLS-1,0.0887808254508171,0.0067745376296965,3,8.01310993687437
eurusd,0.34025,7,omega_1,ZV-OLS-2,0.0841451112041648,0.0035229077570133,9,130.0689464736862
eurusd,0.34025,7,omega_1,ZV-OLS-5,0.0738726829728614,0.0001876419096358,55,10753033.419001184
eurusd,0.34025,7,omega_1,ZV-Lasso-5,0.0746246900323717,0.0002469589197508,43,952124.3720128356
eurusd,0.34025,7,omega_2,MC,0.0953894406757267,0.0033892608112869,0,
eurusd,0.34025,7,omega_2,ZV-OLS-1,0.0915554998954101,0.0013855701811671,3,8.01310993687437
eurusd,0.34025,7,omega_2,ZV-OLS-2,0.0888167163350757,0.0006397531560076,9,130.0689464736862
eurusd,0.34025,7,omega_2,ZV-OLS-5,0.0900290804373929,7.89339631829668e-05,55,10753033.419001184
eurusd,0.34025,7,omega_2,ZV-Lasso-5,0.0884512404364745,0.0001475157125473,33,134923.09363937538
eurusd,0.34025,7,omega_3,MC,0.442548353448518,0.0377261065784493,0,
eurusd,0.34025,7,omega_3,ZV-OLS-1,0.4459836334562021,0.0362430948555539,3,8.01310993687437
eurusd,0.34025,7,omega_3,ZV-OLS-2,0.4723707633973094,0.0178230004786721,9,130.0689464736862
eurusd,0.34025,7,omega_3,ZV-OLS-5,0.5240971937607934,0.0009220411505088,55,10753033.419001184
eurusd,0.34025,7,omega_3,ZV-Lasso-5,0.5174515556786096,0.0013308549840973,37,16370.34016896286
eurusd,0.361375,8,omega_1,MC,0.0847107860451426,0.0063590700420248,0,
eurusd,0.361375,8,omega_1,ZV-OLS-1,0.0848074300183006,0.0062122201586685,3,8.331225779582537
eurusd,0.361375,8,omega_1,ZV-OLS-2,0.0823185537920267,0.0034348053471116,9,130.0426761162249
eurusd,0.361375,8,omega_1,ZV-OLS-5,0.0739239345282265,0.0001208109436051,55,13240866.491618617
eurusd,0.361375,8,omega_1,ZV-Lasso-5,0.0743999616873352,0.000160191970113,42,216157.79352007704
eurusd,0.361375,8,omega_2,MC,0.0911438887045615,0.0031679227023571,0,
eurusd,0.361375,8,omega_2,ZV-OLS-1,0.0894608467275481,0.00150082097737,3,8.331225779582537
eurusd,0.361375,8,omega_2,ZV-OLS-2,0.0881357625488156,0.0008271147743165,9,130.0426761162249
eurusd,0.361375,8,omega_2,ZV-OLS-5,0.0899705004640648,6.323449473233936e-05,55,13240866.491618617
eurusd,0.361375,8,omega_2,ZV-Lasso-5,0.0897455283172975,0.0001206609717369,35,75285.45495704688
eurusd,0.361375,8,omega_3,MC,0.4679660798765893,0.0342662477237619,0,
